id;nome;cpf;telefone;sexo;data_criacao;ativo
1;holistic Travessa;"159.695.237-06";Lúcia Architect;FEMININO;2023-05-28T20:01:16;true
2;Bahamian;"605.747.681-95";Madeira deposit;INDEFINIDO;2023-05-29T02:20:18;false
3;Pataca Consultant Licenciado;"008.908.635-88";Sergipe Genérico;MASCULINO;2023-05-29T03:26:07;false
4;Brinquedos jade;"303.529.702-14";Integration cultivate;MASCULINO;2023-05-29T13:48:55;true
5;invoice innovative;"161.437.773-66";invoice;INDEFINIDO;2023-05-29T03:14:39;false
6;cultivate;"578.345.010-11";Communications firewall;INDEFINIDO;2023-05-29T13:53:22;false
7;Bedfordshire Infrastructure auxiliary;"988.107.096-51";Avenida Tactics;FEMININO;2023-05-29T10:17:47;false
8;bottom-line Bedfordshire best-of-breed;"032.059.904-58";SSL;MASCULINO;2023-05-29T15:11:49;true
9;celeste Salada experiences;"253.030.408-95";Turquia;FEMININO;2023-05-29T08:01:27;false
10;leverage Consultant JSON;"655.112.989-34";Fresco haptic;INDEFINIDO;2023-05-29T06:32:15;true
